,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
653,1,3,female,,0,0,7.8292,,Q
654,0,3,female,18.0,0,0,6.75,,Q
657,0,3,female,32.0,1,1,15.5,,Q
677,1,3,female,18.0,0,0,9.8417,,S
678,0,3,female,43.0,1,6,46.9,,S
680,0,3,female,,0,0,8.1375,,Q
691,1,3,female,4.0,0,1,13.4167,,C
697,1,3,female,,0,0,7.7333,,Q
702,0,3,female,18.0,0,1,14.4542,,C
727,1,3,female,,0,0,7.7375,,Q
729,0,3,female,25.0,1,0,7.925,,S
736,0,3,female,48.0,1,3,34.375,,S
767,0,3,female,30.5,0,0,7.75,,Q
777,1,3,female,5.0,0,0,12.475,,S
780,1,3,female,13.0,0,0,7.2292,,C
786,1,3,female,18.0,0,0,7.4958,,S
792,0,3,female,,8,2,69.55,,S
797,1,3,female,31.0,0,0,8.6833,,S
799,0,3,female,30.0,1,1,24.15,,S
807,0,3,female,18.0,0,0,7.775,,S
813,0,3,female,6.0,4,2,31.275,,S
816,0,3,female,23.0,0,0,7.925,,S
823,1,3,female,27.0,0,1,12.475,E121,S
830,1,3,female,15.0,1,0,14.4542,,C
852,0,3,female,9.0,1,1,15.2458,,C
855,1,3,female,18.0,0,1,9.35,,S
858,1,3,female,24.0,0,3,19.2583,,C
863,0,3,female,,8,2,69.55,,S
875,1,3,female,15.0,0,0,7.225,,C
882,0,3,female,22.0,0,0,10.5167,,S
885,0,3,female,39.0,0,5,29.125,,Q
888,0,3,female,,1,2,23.45,,S
